g,i,r,z,PERCENTILE
18.985143033205457,19.825368740334863,19.428304813526058,20.129067521207986,0.0
19.248780822769834,19.97668812160219,19.62576658442633,20.2743195161239,1.0
19.36429744659694,20.069763276957765,19.718976784524717,20.38780956272522,2.0
19.493258956950996,20.21460086347569,19.773252227518995,20.437365983765687,3.0
19.603086397124965,20.254405279635694,19.922469176190617,20.57277856638192,4.0
19.804901475839646,20.401688278836804,20.02600096572951,20.638385789713823,5.0
19.88871465729921,20.481213643645056,20.09219085128088,20.74760609804575,6.0
19.98406309248739,20.5622293124322,20.20074228995669,20.811714211785684,7.0
20.034035780754728,20.593758376471627,20.232333110847033,20.86481649933983,8.0
20.167819750364536,20.654257265125644,20.3652704191069,20.922285852533967,9.0
20.217885331797717,20.689974901174267,20.414679542996748,20.995889960591974,10.0
20.291792377574588,20.813548503993957,20.460190140617456,21.043633902786844,11.0
20.429601529775816,20.862996849764265,20.527891882948143,21.059151191550043,12.0
20.579455073954296,20.923476044224078,20.549219589418836,21.18841388514911,13.0
20.637286091035286,20.94979657892148,20.62221372871313,21.226752930303174,14.0
20.76811424474387,20.989571136589852,20.719547381459556,21.282840038907807,15.0
20.91615777033655,21.032492382450148,20.840636500098253,21.32735038300766,16.0
21.146868699248007,21.116637345972126,20.941433687104556,21.38046097944695,17.0
21.189593800709464,21.159248411518618,21.00162509545508,21.424885017543943,18.0
21.230145904400207,21.235383551668278,21.047781283527904,21.479469629846186,19.0
21.320627931229435,21.34141373673482,21.210137893471735,21.55194289120108,20.0
21.426365227199828,21.44684037048462,21.31411748973893,21.5943288487818,21.0
21.47790777229136,21.46934407422952,21.408951052784538,21.687374078956342,22.0
21.510875469408255,21.63129526605888,21.46996217606353,21.770680658695017,23.0
21.5834710984524,21.764711511272033,21.5144741179516,21.940313013389215,24.0
21.632891000079372,21.923136651227853,21.596077508254524,22.00089481279212,25.0
21.797014024408725,21.970537815801706,21.64669595551234,22.097688118715496,26.0
21.887145254994294,22.014072752416673,21.686295402102388,22.169963795765092,27.0
21.948518754407374,22.118204711705417,21.728467992194062,22.2189561058575,28.0
22.021370234353903,22.200628330838526,21.771741440549484,22.25628510474252,29.0
22.22909709507206,22.233740502383085,21.808849234611436,22.3011842767801,30.0
22.376958699077235,22.28033825981694,21.87479669464245,22.35510391981125,31.0
22.529241705197553,22.328498647128264,21.957614161861432,22.37567725998032,32.0
22.607551222739122,22.3652328041144,22.113850418974053,22.42282353789372,33.0
22.671322009476114,22.412526995710294,22.187178485247628,22.50413926924733,34.0
22.7397045365095,22.4534434235322,22.304569244199946,22.534895705836927,35.0
22.760457334935307,22.531810476020773,22.418747282057694,22.59913493554106,36.0
22.78424888086555,22.635387787356223,22.456930897702637,22.661777616947862,37.0
22.829706849392867,22.728935451163455,22.521125551483255,22.7005365987082,38.0
22.868795266036617,22.78491678693511,22.553033106713215,22.728427885034883,39.0
22.88110228781925,22.863147028630515,22.701115357309728,22.794239284756006,40.0
22.913537115284637,22.921016209679586,22.761726454230377,22.95804053585292,41.0
23.006880265622996,23.09514006921251,22.816343188120133,23.038742325303353,42.0
23.10201028615429,23.18433305772108,22.853794966432655,23.11384339401119,43.0
23.20753508875515,23.221337698961165,22.909652613771353,23.20406254285378,44.0
23.24308546422152,23.285259981699717,22.92866500490127,23.27106604515622,45.0
23.27064187597373,23.333831799101056,22.966582015103196,23.329540892510636,46.0
23.42338927744558,23.435243748445647,23.00175147100999,23.400077979476567,47.0
23.45292198306994,23.46556187144573,23.09931184650521,23.49845445273121,48.0
23.510939398339154,23.510872573422873,23.1764019276281,23.575417787628396,49.0
23.54664990394943,23.562341073777635,23.184598816982472,23.604011183929217,50.0
23.575137910467383,23.604952494329044,23.228179729186884,23.671964314716195,51.0
23.64926018334557,23.624833283898653,23.308390901418637,23.7094648306002,52.0
23.715298839065916,23.64517190952753,23.37559041536606,23.75255992093381,53.0
23.741565845672636,23.668940854716197,23.42445139744136,23.78398716031849,54.0
23.8098951926848,23.693357994123946,23.480969657214093,23.822600524332188,55.0
23.839423866423893,23.73310220136392,23.510695234835843,23.848545499570875,56.0
23.860950803294372,23.754896260215887,23.580773296277258,23.881585076454442,57.0
23.88461663691615,23.765180398603402,23.63475175286597,23.89535720880505,58.0
23.906674629806513,23.865488842384142,23.686469734517267,23.952852511911097,59.0
23.94319309336846,23.93355583337215,23.789941775696494,24.03223653117085,60.0
24.00300281518055,23.990321201989886,23.81057203970383,24.0716875479747,61.0
24.011231073052222,24.006895505431743,23.849770851078134,24.097930319625338,62.0
24.038394902370147,24.0376019172862,23.892732102544223,24.107573575599826,63.0
24.063363980148246,24.058380222457558,23.946367081023343,24.128997104923428,64.0
24.116259476294125,24.093436433580003,24.023903716204316,24.146601968370135,65.0
24.180544922323758,24.12170909809298,24.049225237749972,24.165055697340563,66.0
24.192966238915176,24.175290270881412,24.05759878738222,24.203704942420654,67.0
24.281974323593627,24.2383213576784,24.100519336768034,24.2837752012748,68.0
24.344087109571362,24.275502635784555,24.179239511094764,24.315710030158463,69.0
24.374655882555395,24.290975020647764,24.225336115732993,24.389502052237027,70.0
24.412723071623283,24.34260863161756,24.244214776347278,24.420058983097803,71.0
24.479620000326825,24.365548849334296,24.263687475250478,24.45258341779882,72.0
24.530394710575386,24.415541237312453,24.320458541812975,24.501791024574874,73.0
24.56167247336189,24.451339924772334,24.34712772680244,24.55734486120957,74.0
24.636771942013375,24.46922968311096,24.3693026486438,24.577347607119123,75.0
24.664810742987626,24.503487647540474,24.425129964609194,24.640751876205183,76.0
24.72932541046822,24.523245288666143,24.47254042174942,24.663635725462278,77.0
24.750250103653755,24.5449309976766,24.50041587984216,24.701020678378413,78.0
24.774093807931777,24.56017462575808,24.580016522767018,24.730256623796606,79.0
24.79117957702475,24.615955137545402,24.634387802418445,24.736294897658635,80.0
24.8572250262014,24.627834182042385,24.677998054044064,24.768819939013824,81.0
24.899981682588244,24.662520180845227,24.71698816121835,24.825474879074918,82.0
24.949561312319744,24.687613432471025,24.769386632876767,24.83943489724783,83.0
24.97047341131022,24.72753157257354,24.834049974839623,24.849532052951833,84.0
25.00843810989811,24.737240423655596,24.882482205068804,24.8719150602855,85.0
25.07846905823315,24.761092137261546,24.930810112233786,24.879425482861084,86.0
25.153424356176785,24.81303903803419,24.971318435434526,24.900723908554056,87.0
25.209902411638943,24.853652651945968,24.995246149399243,24.91559921960882,88.0
25.228223193713106,24.91750862078802,25.05727635846425,24.963466421009855,89.0
25.271701181528982,25.01990157717363,25.103486440225552,25.020811704253962,90.0
25.301089820241877,25.047059501059998,25.16110653737404,25.07043139948629,91.0
25.339081251206604,25.132499736275896,25.177910935965393,25.092361243040816,92.0
25.382168834932173,25.19927273230431,25.222611847720284,25.1128314594619,93.0
25.43158682388829,25.213836840698136,25.244889389655253,25.16453221864561,94.0
25.46710927451007,25.26249313551797,25.278879250327165,25.197106401788343,95.0
25.5003299590513,25.355771686658567,25.343906200742502,25.232672392787343,96.0
25.607415887878247,25.428693072407732,25.623228258766453,25.296685812942084,97.0
25.66122524844123,25.438436489437905,25.682932205537526,25.398899303806065,98.0
25.794022222562326,25.68802248918355,25.724229561198083,25.556860317974696,99.0
26.013499506127836,25.781053196725438,26.02899551976209,25.832433326466752,100.0
